time,container_mem_mib,container_limit_mib,cpu,heap_used_mib,heap_max_mib
2026-09-26T16:37:14,1257.5,1536.0,0.49%,302.0,512.0
2026-09-26T16:37:17,1257.5,1536.0,0.52%,302.0,512.0
2026-09-26T16:37:19,1257.5,1536.0,0.46%,302.0,512.0
2026-09-26T16:37:21,1257.5,1536.0,0.41%,302.0,512.0
2026-09-26T16:37:23,1257.5,1536.0,0.45%,302.0,512.0
2026-09-26T16:37:25,MARK,k6 es nosearch cold end,,,
2026-09-26T16:37:25,MARK,k6 es nosearch warm1 start,,,
2026-09-26T16:37:26,1257.5,1536.0,0.52%,302.0,512.0
2026-09-26T16:37:28,1257.5,1536.0,0.44%,302.0,512.0
2026-09-26T16:37:31,1257.5,1536.0,0.50%,302.0,512.0
2026-09-26T16:37:33,1257.5,1536.0,0.43%,302.0,512.0
2026-09-26T16:37:36,1257.5,1536.0,0.48%,302.0,512.0
2026-09-26T16:37:38,1257.5,1536.0,0.49%,302.0,512.0
2026-09-26T16:37:40,1257.5,1536.0,0.47%,302.0,512.0
2026-09-26T16:37:42,1257.5,1536.0,0.44%,302.0,512.0
2026-09-26T16:37:45,1257.5,1536.0,0.44%,302.0,512.0
2026-09-26T16:37:48,1257.5,1536.0,0.48%,306.0,512.0
2026-09-26T16:37:50,1257.5,1536.0,0.52%,306.0,512.0
2026-09-26T16:37:52,1257.5,1536.0,0.63%,306.0,512.0
2026-09-26T16:37:54,1257.5,1536.0,0.48%,306.0,512.0
2026-09-26T16:37:56,MARK,k6 es nosearch warm1 end,,,
2026-09-26T16:37:56,MARK,k6 es nosearch warm2 start,,,
2026-09-26T16:37:57,1257.5,1536.0,0.53%,306.0,512.0
2026-09-26T16:37:59,1257.5,1536.0,0.50%,306.0,512.0
2026-09-26T16:38:02,1257.5,1536.0,0.46%,306.0,512.0
2026-09-26T16:38:04,1257.5,1536.0,0.45%,306.0,512.0
2026-09-26T16:38:07,1257.5,1536.0,1.03%,306.0,512.0
2026-09-26T16:38:09,1257.5,1536.0,0.47%,306.0,512.0
2026-09-26T16:38:11,1257.5,1536.0,0.47%,306.0,512.0
2026-09-26T16:38:13,1257.5,1536.0,0.50%,306.0,512.0
2026-09-26T16:38:16,1257.5,1536.0,0.50%,306.0,512.0
2026-09-26T16:38:19,1257.5,1536.0,0.44%,306.0,512.0
2026-09-26T16:38:21,1257.5,1536.0,0.44%,306.0,512.0
2026-09-26T16:38:23,1257.5,1536.0,0.45%,306.0,512.0
2026-09-26T16:38:26,1257.5,1536.0,0.45%,310.0,512.0
2026-09-26T16:38:27,MARK,k6 es nosearch warm2 end,,,
2026-09-26T16:38:28,1257.5,1536.0,0.50%,310.0,512.0
2026-09-26T16:38:30,1257.5,1536.0,0.47%,310.0,512.0
2026-09-26T16:38:33,1257.5,1536.0,0.47%,310.0,512.0
2026-09-26T16:38:36,1257.5,1536.0,0.49%,310.0,512.0
2026-09-26T16:38:38,1257.5,1536.0,0.51%,310.0,512.0
2026-09-26T16:38:40,1257.5,1536.0,0.53%,310.0,512.0
2026-09-26T16:38:42,1257.5,1536.0,0.50%,310.0,512.0
2026-09-26T16:38:44,1257.5,1536.0,0.56%,310.0,512.0
2026-09-26T16:38:47,1257.5,1536.0,0.50%,310.0,512.0
2026-09-26T16:38:50,1257.5,1536.0,0.54%,310.0,512.0
2026-09-26T16:38:52,1257.5,1536.0,0.63%,310.0,512.0
2026-09-26T16:38:54,1257.5,1536.0,0.55%,310.0,512.0
2026-09-26T16:38:57,1257.5,1536.0,0.65%,310.0,512.0
2026-09-26T16:38:59,1257.5,1536.0,0.57%,310.0,512.0
2026-09-26T16:39:01,1257.5,1536.0,0.49%,314.0,512.0
2026-09-26T16:39:04,1257.5,1536.0,0.46%,314.0,512.0
2026-09-26T16:39:07,1257.5,1536.0,0.57%,314.0,512.0
2026-09-26T16:39:09,1257.5,1536.0,0.50%,314.0,512.0
2026-09-26T16:39:11,1257.5,1536.0,0.50%,314.0,512.0
2026-09-26T16:39:13,1257.5,1536.0,0.53%,314.0,512.0
2026-09-26T16:39:16,1257.5,1536.0,0.53%,314.0,512.0
2026-09-26T16:39:18,1257.5,1536.0,0.48%,314.0,512.0
2026-09-26T16:39:20,MARK,baseline LIKE app running (ES idle),,,
2026-09-26T16:39:21,1257.5,1536.0,0.48%,314.0,512.0
2026-09-26T16:39:23,1257.5,1536.0,0.42%,314.0,512.0
2026-09-26T16:39:26,1257.5,1536.0,0.39%,314.0,512.0
2026-09-26T16:39:28,1257.5,1536.0,0.40%,314.0,512.0
2026-09-26T16:39:30,1257.5,1536.0,0.40%,314.0,512.0
2026-09-26T16:39:32,1257.5,1536.0,0.54%,314.0,512.0
2026-09-26T16:39:36,1257.5,1536.0,0.38%,314.0,512.0
2026-09-26T16:39:38,1257.5,1536.0,0.62%,314.0,512.0
2026-09-26T16:39:40,1257.5,1536.0,0.42%,318.0,512.0
